Game,Score,Epsilon,Reward,Loss,Q_value
484.0,0,516.0,4.0,1.0,1.0
485.0,0,515.0,3.0,0.0,2.0
486.0,0,514.0,3.0,1.0,5.0
487.0,0,513.0,3.0,0.0,0.0
488.0,0,512.0,3.0,0.0,4.0
489.0,0,511.0,4.0,0.0,3.0
490.0,0,510.0,3.0,0.0,4.0
491.0,0,509.0,3.0,1.0,5.0
492.0,0,508.0,3.0,0.0,2.0
493.0,0,507.0,3.0,0.0,3.0
494.0,0,506.0,3.0,0.0,1.0
495.0,0,505.0,3.0,1.0,1.0
496.0,1,504.0,3.0,0.0,3.0
497.0,0,503.0,3.0,0.0,3.0
498.0,0,502.0,4.0,0.0,4.0
499.0,0,501.0,3.0,0.0,1.0
500.0,0,500.0,3.0,1.0,2.0
501.0,1,500.0,3.0,0.0,4.0
502.0,0,500.0,3.0,0.0,3.0
503.0,1,500.0,3.0,0.0,1.0
504.0,0,500.0,3.0,1.0,0.0
505.0,0,500.0,3.0,0.0,4.0
506.0,1,500.0,3.0,0.0,3.0
507.0,0,500.0,3.0,1.0,6.0
508.0,0,500.0,3.0,0.0,3.0
509.0,0,500.0,3.0,0.0,5.0
510.0,0,500.0,3.0,0.0,2.0
511.0,0,500.0,4.0,0.0,1.0
512.0,0,500.0,3.0,1.0,0.0
513.0,0,500.0,3.0,0.0,4.0
514.0,0,500.0,4.0,0.0,3.0
515.0,0,500.0,3.0,0.0,6.0
516.0,1,500.0,4.0,0.0,4.0
517.0,1,500.0,3.0,0.0,4.0
518.0,0,500.0,3.0,0.0,4.0
519.0,0,500.0,3.0,1.0,6.0
520.0,0,500.0,3.0,0.0,3.0
521.0,1,500.0,3.0,1.0,3.0
522.0,0,500.0,4.0,0.0,5.0
523.0,0,500.0,4.0,0.0,7.0
524.0,1,500.0,4.0,0.0,2.0
525.0,1,500.0,4.0,0.0,4.0
526.0,1,500.0,4.0,2.0,-5.0
527.0,0,500.0,3.0,0.0,4.0
528.0,0,500.0,3.0,1.0,9.0
529.0,1,500.0,4.0,0.0,5.0
530.0,2,500.0,3.0,0.0,3.0
531.0,1,500.0,3.0,0.0,3.0
532.0,0,500.0,3.0,0.0,3.0
533.0,0,500.0,3.0,0.0,2.0
534.0,1,500.0,3.0,0.0,1.0
535.0,1,500.0,3.0,0.0,3.0
536.0,1,500.0,3.0,0.0,5.0
537.0,0,500.0,3.0,1.0,2.0
538.0,1,500.0,3.0,0.0,3.0
